"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 02, 2020","1,080.62","1,068.57","1,085.58","1,061.07","-","1.11%"
"Apr 01, 2020","1,068.71","1,111.75","1,112.75","1,062.98","-","-3.77%"
"Mar 31, 2020","1,110.59","1,116.61","1,125.42","1,107.09","-","-0.52%"
"Mar 30, 2020","1,116.38","1,097.43","1,117.96","1,089.72","-","1.82%"
"Mar 27, 2020","1,096.43","1,125.06","1,129.81","1,087.21","-","-2.33%"
"Mar 26, 2020","1,122.60","1,074.34","1,124.82","1,071.13","-","4.62%"
"Mar 25, 2020","1,073.00","1,044.72","1,098.95","1,044.72","-","2.81%"
"Mar 24, 2020","1,043.68","965.19","1,043.83","965.19","-","8.38%"
"Mar 23, 2020","963.00","993.02","993.61","950.07","-","-3.25%"
"Mar 20, 2020","995.30","1,009.46","1,038.15","992.15","-","-1.61%"
"Mar 19, 2020","1,011.57","1,007.46","1,023.22","978.40","-","0.48%"
"Mar 18, 2020","1,006.76","1,064.82","1,067.55","976.95","-","-5.36%"
"Mar 17, 2020","1,063.73","1,028.02","1,071.84","1,015.78","-","3.32%"
"Mar 16, 2020","1,029.51","1,136.35","1,136.67","1,028.26","-","-9.25%"
"Mar 13, 2020","1,134.39","1,082.36","1,134.89","1,065.45","-","5.00%"
"Mar 12, 2020","1,080.35","1,192.91","1,192.91","1,080.35","-","-9.61%"
"Mar 11, 2020","1,195.16","1,240.52","1,242.20","1,186.12","-","-3.75%"
"Mar 10, 2020","1,241.71","1,210.33","1,241.71","1,204.59","-","2.58%"
"Mar 09, 2020","1,210.52","1,304.63","1,304.63","1,209.46","-","-7.15%"
"Mar 06, 2020","1,303.78","1,332.29","1,332.31","1,286.28","-","-2.06%"
"Mar 05, 2020","1,331.18","1,357.83","1,362.60","1,325.19","-","-1.97%"
"Mar 04, 2020","1,357.98","1,324.17","1,357.98","1,322.72","-","2.55%"
"Mar 03, 2020","1,324.26","1,339.72","1,361.08","1,317.52","-","-1.10%"
"Mar 02, 2020","1,338.98","1,301.06","1,339.48","1,300.09","-","2.94%"
"Feb 28, 2020","1,300.80","1,325.17","1,325.17","1,272.63","-","-1.79%"
"Feb 27, 2020","1,324.55","1,369.55","1,369.63","1,324.55","-","-3.28%"
"Feb 26, 2020","1,369.48","1,376.67","1,388.62","1,367.91","-","-0.64%"
"Feb 25, 2020","1,378.37","1,410.09","1,411.47","1,376.34","-","-2.33%"
"Feb 24, 2020","1,411.28","1,453.13","1,453.23","1,408.67","-","-2.93%"
"Feb 21, 2020","1,453.83","1,464.07","1,464.61","1,451.78","-","-0.74%"
"Feb 20, 2020","1,464.72","1,472.19","1,472.94","1,456.50","-","-0.45%"
"Feb 19, 2020","1,471.31","1,464.72","1,472.54","1,464.07","-","0.44%"
"Feb 18, 2020","1,464.91","1,472.00","1,472.02","1,460.48","-","-0.47%"
"Feb 17, 2020","1,471.81","1,472.08","1,472.73","1,470.31","-","-0.02%"
"Feb 14, 2020","1,472.10","1,471.01","1,472.91","1,468.80","-","0.04%"
"Feb 13, 2020","1,471.48","1,473.77","1,474.15","1,466.41","-","-0.19%"
"Feb 12, 2020","1,474.25","1,465.52","1,474.25","1,464.92","-","0.61%"
"Feb 11, 2020","1,465.27","1,458.25","1,470.03","1,458.23","-","0.47%"
"Feb 10, 2020","1,458.44","1,453.93","1,458.44","1,449.79","-","0.24%"
