date,price
1994-05-31,392.68
1994-06-01,393.20
1994-06-02,392.44
1994-06-03,392.14
1994-06-06,391.80
1994-06-07,392.35
1994-06-08,394.48
1994-06-09,394.82
1994-06-10,395.52
1994-06-13,397.04
1994-06-14,397.46
1994-06-15,396.83
1994-06-16,395.47
1994-06-17,394.86
1994-06-20,393.22
1994-06-21,390.30
1994-06-22,391.11
1994-06-23,391.93
1994-06-24,388.46
1994-06-27,389.43
1994-06-28,390.64
1994-06-29,393.64
1994-06-30,392.59
1994-07-01,391.82
1994-07-04,393.02
1994-07-05,394.29
1994-07-06,394.57
1994-07-07,393.94
1994-07-08,394.29
1994-07-11,397.29
1994-07-12,398.28
1994-07-13,397.99
1994-07-14,400.55
1994-07-15,401.89
1994-07-18,402.32
1994-07-19,400.93
1994-07-20,400.49
1994-07-21,399.01
1994-07-22,397.78
1994-07-25,397.36
1994-07-26,398.15
1994-07-27,397.27
1994-07-28,396.84
1994-07-29,398.30
1994-08-01,401.62
1994-08-02,402.83
1994-08-03,403.57
1994-08-04,403.10
1994-08-05,402.11
1994-08-08,401.95
1994-08-09,401.36
1994-08-10,402.76
1994-08-11,401.48
1994-08-12,403.38
1994-08-15,403.16
1994-08-16,404.52
1994-08-17,406.31
1994-08-18,407.85
1994-08-19,407.75
1994-08-22,407.98
1994-08-23,407.20
1994-08-24,409.27
1994-08-25,407.81
1994-08-26,408.66
1994-08-29,409.16
1994-08-30,410.57
1994-08-31,410.75
1994-09-01,410.43
1994-09-02,411.29
1994-09-05,409.41
1994-09-06,409.67
1994-09-07,407.13
1994-09-08,407.05
1994-09-09,406.52
1994-09-12,405.51
1994-09-13,406.00
1994-09-14,406.17
1994-09-15,407.15
1994-09-16,406.91
1994-09-19,404.64
1994-09-20,404.58
1994-09-21,403.92
1994-09-22,402.66
1994-09-23,403.19
1994-09-26,401.02
1994-09-27,400.58
1994-09-28,401.89
1994-09-29,401.37
1994-09-30,400.73
1994-10-03,398.32
1994-10-04,396.27
1994-10-05,395.51
1994-10-06,394.58
1994-10-07,394.91
1994-10-10,396.16
1994-10-11,399.89
1994-10-12,402.53
1994-10-13,404.47
1994-10-14,406.79
1994-10-17,407.86
1994-10-18,407.07
1994-10-19,407.24
1994-10-20,406.73
1994-10-21,405.10
1994-10-24,403.30
1994-10-25,402.36
1994-10-26,402.61
1994-10-27,404.28
1994-10-28,406.50
1994-10-31,408.98
1994-11-01,407.80
1994-11-02,406.83
1994-11-03,404.21
1994-11-04,402.62
1994-11-07,401.55
1994-11-08,402.62
1994-11-09,400.22
1994-11-10,398.11
1994-11-11,397.84
1994-11-14,397.13
1994-11-15,399.02
1994-11-16,398.32
1994-11-17,397.71
1994-11-18,395.64
1994-11-21,393.24
1994-11-22,388.75
1994-11-23,386.04
1994-11-24,385.05
1994-11-25,385.40
1994-11-28,386.63
1994-11-29,388.04
1994-11-30,388.73
1994-12-01,386.25
1994-12-02,384.67
1994-12-05,386.46
1994-12-06,386.06
1994-12-07,384.58
1994-12-08,381.34
1994-12-09,379.33
1994-12-12,379.26
1994-12-13,378.66
1994-12-14,381.18
1994-12-15,383.06
1994-12-16,384.45
1994-12-19,384.77
1994-12-20,385.60
1994-12-21,386.77
1994-12-22,387.78
1994-12-23,388.55
1994-12-26,389.45
1994-12-27,389.75
1994-12-28,389.04
1994-12-29,391.01
1994-12-30,391.65
1995-01-02,391.67
1995-01-03,389.98
1995-01-04,388.35
1995-01-05,388.01
1995-01-06,386.46
1995-01-09,385.80
