date,price
1988-01-01,100.00
1988-01-04,99.91
1988-01-05,99.70
1988-01-06,101.26
1988-01-07,102.04
1988-01-08,99.16
1988-01-11,99.11
1988-01-12,99.04
1988-01-13,98.72
1988-01-14,99.26
1988-01-15,98.64
1988-01-18,99.69
1988-01-19,99.22
1988-01-20,98.51
1988-01-21,98.38
1988-01-22,99.20
1988-01-25,101.16
1988-01-26,101.10
1988-01-27,100.66
1988-01-28,101.92
1988-01-29,102.33
1988-02-01,101.51
1988-02-02,101.66
1988-02-03,101.16
1988-02-04,101.09
1988-02-05,100.76
1988-02-08,100.41
1988-02-09,100.37
1988-02-10,101.69
1988-02-11,101.92
1988-02-12,101.60
1988-02-15,102.53
1988-02-16,103.30
1988-02-17,103.71
1988-02-18,104.20
1988-02-19,104.87
1988-02-22,106.19
1988-02-23,106.50
1988-02-24,106.69
1988-02-25,106.99
1988-02-26,107.10
1988-02-29,108.07
1988-03-01,108.53
1988-03-02,108.95
1988-03-03,108.85
1988-03-04,108.91
1988-03-07,109.47
1988-03-08,109.60
1988-03-09,110.05
1988-03-10,109.52
1988-03-11,109.41
1988-03-14,109.44
1988-03-15,109.65
1988-03-16,110.42
1988-03-17,110.93
1988-03-18,111.35
1988-03-21,111.54
1988-03-22,111.11
1988-03-23,111.54
1988-03-24,110.62
1988-03-25,109.36
1988-03-28,109.32
1988-03-29,110.44
1988-03-30,110.74
1988-03-31,111.22
1988-04-01,111.22
1988-04-04,110.72
1988-04-05,110.38
1988-04-06,111.71
1988-04-07,112.17
1988-04-08,112.93
1988-04-11,113.14
1988-04-12,113.44
1988-04-13,113.71
1988-04-14,113.37
1988-04-15,112.56
1988-04-18,111.85
1988-04-19,111.72
1988-04-20,111.74
1988-04-21,111.38
1988-04-22,111.42
1988-04-25,112.33
1988-04-26,112.75
1988-04-27,112.35
1988-04-28,112.77
1988-04-29,112.45
1988-05-02,112.67
1988-05-03,113.05
1988-05-04,112.54
1988-05-05,112.47
1988-05-06,111.77
1988-05-09,111.06
1988-05-10,111.34
1988-05-11,110.10
1988-05-12,110.02
1988-05-13,110.78
1988-05-16,111.42
1988-05-17,110.70
1988-05-18,110.03
1988-05-19,109.55
1988-05-20,109.51
1988-05-23,108.99
1988-05-24,109.57
1988-05-25,109.93
1988-05-26,109.74
1988-05-27,108.91
1988-05-30,108.16
1988-05-31,110.04
1988-06-01,111.42
1988-06-02,110.92
1988-06-03,111.46
1988-06-06,112.03
1988-06-07,112.07
