date,price
2016-06-02,1451.73
2016-06-03,1454.67
2016-06-06,1460.92
2016-06-07,1467.12
2016-06-08,1471.09
2016-06-09,1461.66
2016-06-10,1441.31
2016-06-13,1424.12
2016-06-14,1411.21
2016-06-15,1414.18
2016-06-16,1409.19
2016-06-17,1414.97
2016-06-20,1438.98
2016-06-21,1443.30
2016-06-22,1442.76
2016-06-23,1463.36
2016-06-24,1390.70
2016-06-27,1357.23
2016-06-28,1381.23
2016-06-29,1411.71
2016-06-30,1427.42
2016-07-01,1433.71
2016-07-04,1433.95
2016-07-05,1420.17
2016-07-06,1416.38
2016-07-07,1419.60
2016-07-08,1435.81
2016-07-11,1447.97
2016-07-12,1461.16
2016-07-13,1464.34
2016-07-14,1472.37
2016-07-15,1470.07
2016-07-18,1473.37
2016-07-19,1469.31
2016-07-20,1477.59
2016-07-21,1475.98
2016-07-22,1477.55
2016-07-25,1475.59
2016-07-26,1477.50
2016-07-27,1478.37
2016-07-28,1479.63
2016-07-29,1492.27
2016-08-01,1489.34
2016-08-02,1479.34
2016-08-03,1477.12
2016-08-04,1480.67
2016-08-05,1489.08
2016-08-08,1491.85
2016-08-09,1499.70
2016-08-10,1498.66
2016-08-11,1505.75
2016-08-12,1505.86
2016-08-15,1509.13
2016-08-16,1501.37
2016-08-17,1501.83
2016-08-18,1505.81
2016-08-19,1502.19
2016-08-22,1502.95
2016-08-23,1508.20
2016-08-24,1501.78
2016-08-25,1498.53
2016-08-26,1497.69
2016-08-29,1497.57
2016-08-30,1496.46
2016-08-31,1493.39
2016-09-01,1496.91
2016-09-02,1505.63
2016-09-05,1507.92
2016-09-06,1515.11
2016-09-07,1516.54
2016-09-08,1513.40
2016-09-09,1482.24
2016-09-12,1489.14
2016-09-13,1471.42
2016-09-14,1469.75
2016-09-15,1480.63
2016-09-16,1473.36
2016-09-19,1478.91
2016-09-20,1479.21
2016-09-21,1495.04
2016-09-22,1510.89
2016-09-23,1501.37
2016-09-26,1488.27
2016-09-27,1493.61
2016-09-28,1497.86
2016-09-29,1491.49
2016-09-30,1497.18
2016-10-03,1494.64
2016-10-04,1490.75
2016-10-05,1493.86
2016-10-06,1491.83
2016-10-07,1487.00
2016-10-10,1492.72
2016-10-11,1476.06
2016-10-12,1471.75
2016-10-13,1466.29
2016-10-14,1469.94
2016-10-17,1464.95
2016-10-18,1476.34
2016-10-19,1481.17
2016-10-20,1478.77
2016-10-21,1476.03
2016-10-24,1480.38
2016-10-25,1475.29
2016-10-26,1473.78
2016-10-27,1468.99
2016-10-28,1464.65
2016-10-31,1464.49
2016-11-01,1457.87
2016-11-02,1448.21
2016-11-03,1442.81
2016-11-04,1437.02
2016-11-07,1459.47
2016-11-08,1464.56
2016-11-09,1469.55
2016-11-10,1475.42
2016-11-11,1472.26
2016-11-14,1468.61
2016-11-15,1476.56
2016-11-16,1474.13
2016-11-17,1481.94
2016-11-18,1473.58
2016-11-21,1484.05
2016-11-22,1485.65
2016-11-23,1482.44
2016-11-24,1485.48
2016-11-25,1492.07
2016-11-28,1484.62
2016-11-29,1487.14
2016-11-30,1484.02
2016-12-01,1480.28
2016-12-02,1480.35
2016-12-05,1488.61
2016-12-06,1497.37
2016-12-07,1516.38
2016-12-08,1520.10
2016-12-09,1526.33
2016-12-12,1525.30
2016-12-13,1537.19
2016-12-14,1528.71
2016-12-15,1521.07
2016-12-16,1520.74
2016-12-19,1524.06
2016-12-20,1526.53
2016-12-21,1525.35
2016-12-22,1523.32
2016-12-23,1524.76
2016-12-26,1524.15
2016-12-27,1526.09
2016-12-28,1517.00
2016-12-29,1518.71
2016-12-30,1517.05
2017-01-02,1518.70
2017-01-03,1523.32
2017-01-04,1537.83
2017-01-05,1545.07
2017-01-06,1545.84
2017-01-09,1540.89
2017-01-10,1543.41
2017-01-11,1541.69
2017-01-12,1546.02
2017-01-13,1550.25
2017-01-16,1546.30
2017-01-17,1544.72
2017-01-18,1547.23
2017-01-19,1538.90
2017-01-20,1544.72
2017-01-23,1543.56
2017-01-24,1551.12
2017-01-25,1564.84
2017-01-26,1563.34
2017-01-27,1563.56
2017-01-30,1554.13
2017-01-31,1554.04
2017-02-01,1555.40
2017-02-02,1556.26
2017-02-03,1565.41
2017-02-06,1559.35
2017-02-07,1558.51
2017-02-08,1562.80
2017-02-09,1567.51
2017-02-10,1573.54
2017-02-13,1581.06
2017-02-14,1581.86
2017-02-15,1591.09
2017-02-16,1593.78
2017-02-17,1594.24
2017-02-20,1594.40
2017-02-21,1599.35
2017-02-22,1599.25
2017-02-23,1601.08
2017-02-24,1597.16
2017-02-27,1597.50
2017-02-28,1594.58
2017-03-01,1610.31
2017-03-02,1603.31
2017-03-03,1603.63
2017-03-06,1600.57
2017-03-07,1595.96
2017-03-08,1592.01
2017-03-09,1593.60
2017-03-10,1602.51
2017-03-13,1606.05
2017-03-14,1600.27
2017-03-15,1609.55
2017-03-16,1618.17
2017-03-17,1616.89
2017-03-20,1614.61
2017-03-21,1601.26
2017-03-22,1597.87
2017-03-23,1600.10
2017-03-24,1601.14
2017-03-27,1600.86
2017-03-28,1612.85
2017-03-29,1610.60
2017-03-30,1613.37
2017-03-31,1607.97
2017-04-03,1603.79
2017-04-04,1604.20
2017-04-05,1600.13
2017-04-06,1600.62
2017-04-07,1599.23
2017-04-10,1600.18
2017-04-11,1600.86
2017-04-12,1596.48
2017-04-13,1588.28
2017-04-14,1587.56
2017-04-17,1599.54
2017-04-18,1592.07
2017-04-19,1590.89
2017-04-20,1601.98
2017-04-21,1597.62
2017-04-24,1623.43
2017-04-25,1632.89
2017-04-26,1633.61
2017-04-27,1633.10
2017-04-28,1630.32
2017-05-01,1634.67
2017-05-02,1637.92
2017-05-03,1635.45
2017-05-04,1638.76
2017-05-05,1647.10
2017-05-08,1647.35
2017-05-09,1644.01
2017-05-10,1646.03
2017-05-11,1641.70
2017-05-12,1643.10
2017-05-15,1650.63
2017-05-16,1654.48
2017-05-17,1632.92
2017-05-18,1631.76
2017-05-19,1643.32
2017-05-22,1652.12
2017-05-23,1653.85
2017-05-24,1654.68
2017-05-25,1660.63
2017-05-26,1658.59
2017-05-29,1658.08
2017-05-30,1656.63
2017-05-31,1658.28
2017-06-01,1668.31
2017-06-02,1679.70
2017-06-05,1676.61
2017-06-06,1671.28
2017-06-07,1672.66
2017-06-08,1670.50
2017-06-09,1668.85
2017-06-12,1665.00
2017-06-13,1674.05
2017-06-14,1675.64
2017-06-15,1663.18
2017-06-16,1668.50
2017-06-19,1680.64
2017-06-20,1668.74
2017-06-21,1667.10
2017-06-22,1669.02
2017-06-23,1672.01
2017-06-26,1674.18
2017-06-27,1665.33
2017-06-28,1678.17
2017-06-29,1667.73
2017-06-30,1665.21
2017-07-03,1668.63
2017-07-04,1667.17
2017-07-05,1668.80
2017-07-06,1658.50
2017-07-07,1662.56
2017-07-10,1666.40
2017-07-11,1664.98
2017-07-12,1679.86
2017-07-13,1683.67
2017-07-14,1693.04
2017-07-17,1693.48
2017-07-18,1694.57
2017-07-19,1702.04
2017-07-20,1706.33
2017-07-21,1702.23
2017-07-24,1699.12
2017-07-25,1704.11
2017-07-26,1704.24
2017-07-27,1704.75
2017-07-28,1702.49
2017-07-31,1703.62
2017-08-01,1711.47
2017-08-02,1711.14
2017-08-03,1709.17
2017-08-04,1708.30
2017-08-07,1711.69
2017-08-08,1707.28
2017-08-09,1702.76
2017-08-10,1683.47
2017-08-11,1681.83
2017-08-14,1695.21
2017-08-15,1692.17
2017-08-16,1696.49
2017-08-17,1680.73
2017-08-18,1675.67
2017-08-21,1677.04
2017-08-22,1688.79
2017-08-23,1685.97
2017-08-24,1683.42
2017-08-25,1687.49
2017-08-28,1688.91
2017-08-29,1687.64
2017-08-30,1690.34
2017-08-31,1701.54
2017-09-01,1706.60
2017-09-04,1704.45
2017-09-05,1695.89
2017-09-06,1699.45
2017-09-07,1703.66
2017-09-08,1703.96
2017-09-11,1719.70
2017-09-12,1726.01
2017-09-13,1724.73
2017-09-14,1721.65
2017-09-15,1725.00
2017-09-18,1727.62
2017-09-19,1732.60
2017-09-20,1734.85
2017-09-21,1727.20
2017-09-22,1730.83
2017-09-25,1725.37
2017-09-26,1720.16
2017-09-27,1724.86
2017-09-28,1729.10
2017-09-29,1736.76
2017-10-02,1740.54
2017-10-03,1745.03
2017-10-04,1746.08
2017-10-05,1750.69
2017-10-06,1749.33
2017-10-09,1747.82
2017-10-10,1754.31
2017-10-11,1756.77
2017-10-12,1755.68
2017-10-13,1759.49
2017-10-16,1761.32
2017-10-17,1759.29
2017-10-18,1762.28
2017-10-19,1765.04
2017-10-20,1766.81
2017-10-23,1761.60
