date,price
1974-12-31,100.00
1975-01-31,114.23
1975-02-28,126.11
1975-03-31,127.81
1975-04-30,133.10
1975-05-30,135.77
1975-06-30,135.52
1975-07-31,125.90
1975-08-29,123.44
1975-09-30,117.29
1975-10-31,125.96
1975-11-28,130.18
1975-12-31,128.41
1976-01-30,139.67
1976-02-27,137.23
1976-03-31,138.22
1976-04-30,135.40
1976-05-31,132.42
1976-06-30,135.99
1976-07-30,133.69
1976-08-31,133.13
1976-09-30,132.30
1976-10-29,126.88
1976-11-30,125.44
1976-12-31,134.05
1977-01-31,127.00
1977-02-28,126.23
1977-03-31,124.24
1977-04-29,123.38
1977-05-31,120.57
1977-06-30,125.80
1977-07-29,123.27
1977-08-31,125.42
1977-09-30,126.84
1977-10-31,124.24
1977-11-30,125.49
1977-12-30,126.55
1978-01-31,122.32
1978-02-28,120.10
1978-03-31,124.36
1978-04-28,131.48
1978-05-31,132.83
1978-06-30,134.56
1978-07-31,144.50
1978-08-31,147.58
1978-09-29,147.13
1978-10-31,143.97
1978-11-30,137.46
1978-12-29,142.16
1979-01-31,144.29
1979-02-28,140.73
1979-03-30,146.59
1979-04-30,145.68
1979-05-31,142.86
1979-06-29,145.67
1979-07-31,146.11
1979-08-31,152.12
1979-09-28,155.38
1979-10-31,144.60
1979-11-30,149.53
1979-12-31,153.18
1980-01-31,161.64
1980-02-29,161.69
1980-03-31,142.02
1980-04-30,150.00
1980-05-30,156.65
1980-06-30,164.48
1980-07-31,170.08
1980-08-29,173.13
1980-09-30,179.66
1980-10-31,186.22
1980-11-28,195.76
1980-12-31,189.01
1981-01-30,181.49
1981-02-27,181.90
1981-03-31,184.89
1981-04-30,179.64
1981-05-29,174.81
1981-06-30,172.88
1981-07-31,170.82
1981-08-31,166.72
1981-09-30,151.89
1981-10-30,157.80
1981-11-30,168.71
1981-12-31,165.02
1982-01-29,161.99
1982-02-26,150.05
1982-03-31,145.23
1982-04-30,153.19
1982-05-31,148.75
1982-06-30,141.73
1982-07-30,140.86
1982-08-31,150.34
1982-09-30,152.16
1982-10-29,161.56
1982-11-30,170.29
1982-12-31,176.60
1983-01-31,178.24
1983-02-28,182.20
1983-03-31,187.26
1983-04-29,199.16
1983-05-31,196.10
1983-06-30,203.91
1983-07-29,198.32
1983-08-31,197.48
1983-09-30,201.92
1983-10-31,198.55
1983-11-30,203.13
1983-12-30,204.82
1984-01-31,202.81
1984-02-29,198.45
1984-03-30,209.73
1984-04-30,208.02
1984-05-31,192.02
1984-06-29,195.46
1984-07-31,189.05
1984-08-31,207.47
1984-09-28,204.63
1984-10-31,209.34
1984-11-30,207.63
1984-12-31,212.12
1985-01-31,224.44
1985-02-28,224.90
1985-03-29,232.21
1985-04-30,228.40
1985-05-31,239.97
1985-06-28,243.45
1985-07-31,249.94
1985-08-30,250.00
1985-09-30,249.80
1985-10-31,262.45
1985-11-29,278.38
1985-12-31,292.02
1986-01-31,294.32
1986-02-28,321.20
1986-03-31,354.57
1986-04-30,362.82
1986-05-30,363.44
1986-06-30,377.13
1986-07-31,385.37
1986-08-29,411.42
1986-09-30,390.84
1986-10-31,381.02
1986-11-28,397.66
1986-12-31,406.71
1987-01-30,467.16
1987-02-27,486.31
1987-03-31,521.58
1987-04-30,557.11
1987-05-29,546.31
1987-06-30,533.88
1987-07-31,539.93
1987-08-31,579.22
1987-09-30,557.41
1987-10-30,463.93
1987-11-30,449.02
1987-12-31,462.89
1988-01-29,472.35
1988-02-29,501.37
1988-03-31,512.76
1988-04-29,512.05
1988-05-31,497.13
1988-06-30,491.10
1988-07-29,493.40
1988-08-31,470.07
1988-09-30,492.39
1988-10-31,527.62
1988-11-30,546.41
1988-12-30,550.92
1989-01-31,566.97
1989-02-28,559.75
1989-03-31,555.96
1989-04-28,567.18
1989-05-31,550.28
1989-06-30,541.38
1989-07-31,608.88
1989-08-31,591.58
1989-09-29,606.68
1989-10-31,587.05
1989-11-30,613.42
1989-12-29,629.13
1990-01-31,594.10
1990-02-28,563.25
1990-03-30,528.09
1990-04-30,520.88
1990-05-31,581.54
1990-06-29,578.36
1990-07-31,581.00
1990-08-31,525.72
1990-09-28,466.26
1990-10-31,515.48
1990-11-30,505.63
1990-12-31,517.56
1991-01-31,536.40
1991-02-28,584.43
1991-03-29,570.39
1991-04-30,574.26
1991-05-31,586.69
1991-06-28,549.28
1991-07-31,574.43
1991-08-30,574.59
1991-09-30,584.12
1991-10-31,597.52
1991-11-29,577.83
1991-12-31,626.44
1992-01-31,606.73
1992-02-28,592.32
1992-03-31,563.52
1992-04-30,556.93
1992-05-29,580.46
1992-06-30,558.50
1992-07-31,563.05
1992-08-31,582.77
1992-09-30,576.52
1992-10-30,563.12
1992-11-30,576.36
1992-12-31,577.82
1993-01-29,571.08
1993-02-26,577.28
1993-03-31,602.87
1993-04-30,619.91
1993-05-31,638.78
1993-06-30,631.74
1993-07-30,636.77
1993-08-31,664.44
1993-09-30,647.77
1993-10-29,669.78
1993-11-30,629.60
1993-12-31,652.92
1994-01-31,689.61
1994-02-28,679.57
1994-03-31,645.81
1994-04-29,663.44
1994-05-31,661.94
1994-06-30,655.89
1994-07-29,667.17
1994-08-31,688.15
1994-09-30,671.52
1994-10-31,686.86
1994-11-30,658.68
1994-12-30,667.76
1995-01-31,656.83
1995-02-28,666.07
1995-03-31,697.73
1995-04-28,722.81
1995-05-31,727.73
1995-06-30,727.77
1995-07-31,762.59
1995-08-31,740.31
1995-09-29,765.42
1995-10-31,756.25
1995-11-30,779.49
1995-12-29,796.43
1996-01-31,809.76
1996-02-29,814.73
1996-03-29,825.72
1996-04-30,842.06
1996-05-31,846.12
1996-06-28,851.02
1996-07-31,818.40
1996-08-30,824.25
1996-09-30,860.93
1996-10-31,862.59
1996-11-29,905.44
1996-12-31,886.73
1997-01-31,898.17
1997-02-28,907.16
1997-03-31,885.02
1997-04-30,924.73
1997-05-30,977.73
1997-06-30,1030.67
1997-07-31,1077.41
1997-08-29,996.30
1997-09-30,1052.74
1997-10-31,984.49
1997-11-28,1008.52
1997-12-31,1016.80
1998-01-30,1055.66
1998-02-27,1129.27
1998-03-31,1167.29
1998-04-30,1173.03
1998-05-29,1158.94
1998-06-30,1207.44
1998-07-31,1204.37
1998-08-31,1062.24
1998-09-30,1085.08
1998-10-30,1178.42
1998-11-30,1253.36
1998-12-31,1343.83
1999-01-29,1390.12
1999-02-26,1333.76
1999-03-31,1381.96
1999-04-30,1378.61
1999-05-31,1329.43
1999-06-30,1410.06
