date,price
1973-05-31,29.05
1973-06-29,29.78
1973-07-31,29.98
1973-08-31,28.46
1973-09-28,28.21
1973-10-31,28.35
1973-11-30,24.15
1973-12-31,23.20
1974-01-31,23.39
1974-02-28,23.87
1974-03-29,23.95
1974-04-30,24.63
1974-05-31,24.18
1974-06-28,23.18
1974-07-31,21.84
1974-08-30,19.71
1974-09-30,18.72
1974-10-31,17.83
1974-11-29,19.33
1974-12-31,18.93
1975-01-31,19.94
1975-02-28,21.74
1975-03-31,21.96
1975-04-30,22.29
1975-05-30,22.52
1975-06-30,21.86
1975-07-31,20.70
1975-08-29,21.16
1975-09-30,20.29
1975-10-31,21.54
1975-11-28,21.88
1975-12-31,22.31
1976-01-30,23.98
1976-02-27,23.75
1976-03-31,24.04
1976-04-30,23.72
1976-05-31,22.84
1976-06-30,23.40
1976-07-30,23.07
1976-08-31,22.76
1976-09-30,22.79
1976-10-29,22.06
1976-11-30,22.06
1976-12-31,23.64
1977-01-31,22.78
1977-02-28,22.51
1977-03-31,22.17
1977-04-29,22.57
1977-05-31,22.33
1977-06-30,23.12
1977-07-29,23.02
1977-08-31,23.49
1977-09-30,24.32
1977-10-31,24.35
1977-11-30,24.47
1977-12-30,25.83
1978-01-31,25.39
1978-02-28,25.47
1978-03-31,27.43
1978-04-28,27.15
1978-05-31,27.52
1978-06-30,28.26
1978-07-31,30.93
1978-08-31,31.43
1978-09-29,31.73
1978-10-31,32.15
1978-11-30,30.18
1978-12-29,31.44
1979-01-31,31.73
1979-02-28,30.67
1979-03-30,31.38
1979-04-30,30.55
1979-05-31,30.26
1979-06-29,31.46
1979-07-31,31.74
1979-08-31,32.97
1979-09-28,34.98
1979-10-31,32.79
1979-11-30,34.49
1979-12-31,35.09
1980-01-31,38.82
1980-02-29,41.33
1980-03-31,34.88
1980-04-30,36.95
1980-05-30,38.73
1980-06-30,40.58
1980-07-31,41.17
1980-08-29,42.01
1980-09-30,44.66
1980-10-31,47.60
1980-11-28,51.97
1980-12-31,48.30
1981-01-30,45.30
1981-02-27,45.16
1981-03-31,45.68
1981-04-30,44.42
1981-05-29,43.62
1981-06-30,42.61
1981-07-31,41.61
1981-08-31,41.32
1981-09-30,37.22
1981-10-30,37.73
1981-11-30,39.67
1981-12-31,38.84
1982-01-29,38.96
1982-02-26,37.45
1982-03-31,36.14
1982-04-30,37.69
1982-05-31,36.50
1982-06-30,35.13
1982-07-30,35.62
1982-08-31,36.98
1982-09-30,37.52
1982-10-29,40.78
1982-11-30,42.71
1982-12-31,43.39
1983-01-31,43.79
1983-02-28,45.36
1983-03-31,46.85
1983-04-29,50.34
1983-05-31,49.05
1983-06-30,51.01
1983-07-29,49.91
1983-08-31,49.22
1983-09-30,49.89
1983-10-31,49.09
1983-11-30,51.57
1983-12-30,52.37
1984-01-31,51.28
1984-02-29,50.38
1984-03-30,52.27
1984-04-30,51.49
1984-05-31,47.32
1984-06-29,47.27
1984-07-31,43.72
1984-08-31,47.22
1984-09-28,46.69
1984-10-31,50.08
1984-11-30,51.96
1984-12-31,53.58
1985-01-31,54.27
1985-02-28,55.81
1985-03-29,59.64
1985-04-30,58.34
1985-05-31,61.12
1985-06-28,62.79
1985-07-31,63.48
1985-08-30,64.90
1985-09-30,67.32
1985-10-31,71.23
1985-11-29,74.47
1985-12-31,80.12
1986-01-31,81.61
1986-02-28,90.81
1986-03-31,101.58
1986-04-30,108.09
1986-05-30,104.50
1986-06-30,108.02
1986-07-31,112.90
1986-08-29,120.96
1986-09-30,112.41
1986-10-31,111.76
1986-11-28,116.86
1986-12-31,121.11
1987-01-30,134.09
1987-02-27,141.24
1987-03-31,150.16
1987-04-30,162.23
1987-05-29,158.08
1987-06-30,146.55
1987-07-31,144.36
1987-08-31,159.97
1987-09-30,153.20
1987-10-30,132.89
1987-11-30,132.09
1987-12-31,136.07
1988-01-29,138.87
1988-02-29,147.80
1988-03-31,157.49
1988-04-29,158.87
1988-05-31,154.38
1988-06-30,153.77
1988-07-29,163.35
1988-08-31,151.78
1988-09-30,160.07
1988-10-31,166.66
1988-11-30,177.18
1988-12-30,171.62
1989-01-31,175.73
1989-02-28,184.59
1989-03-31,182.12
