date,price
1974-12-31,100.00
1975-01-31,114.93
1975-02-28,122.39
1975-03-31,121.81
1975-04-30,126.55
1975-05-30,129.22
1975-06-30,132.19
1975-07-31,126.20
1975-08-29,124.35
1975-09-30,120.00
1975-10-31,127.32
1975-11-28,129.94
1975-12-31,131.14
1976-01-30,143.00
1976-02-27,142.67
1976-03-31,144.62
1976-04-30,144.53
1976-05-31,142.20
1976-06-30,146.68
1976-07-30,145.84
1976-08-31,145.49
1976-09-30,147.87
1976-10-29,142.69
1976-11-30,142.37
1976-12-31,153.43
1977-01-31,150.57
1977-02-28,149.23
1977-03-31,149.02
1977-04-29,152.46
1977-05-31,150.86
1977-06-30,155.00
1977-07-29,153.04
1977-08-31,150.97
1977-09-30,152.05
1977-10-31,149.43
1977-11-30,150.71
1977-12-30,154.68
1978-01-31,149.68
1978-02-28,149.29
1978-03-31,156.91
1978-04-28,161.27
1978-05-31,162.67
1978-06-30,163.24
1978-07-31,172.85
1978-08-31,176.24
1978-09-29,179.39
1978-10-31,175.59
1978-11-30,170.01
1978-12-29,174.19
1979-01-31,179.31
1979-02-28,175.77
1979-03-30,181.79
1979-04-30,181.10
1979-05-31,176.82
1979-06-29,182.47
1979-07-31,183.53
1979-08-31,189.26
1979-09-28,192.20
1979-10-31,175.73
1979-11-30,178.66
1979-12-31,182.49
1980-01-31,192.19
1980-02-29,190.52
1980-03-31,172.40
1980-04-30,183.85
1980-05-30,192.07
1980-06-30,199.72
1980-07-31,204.04
1980-08-29,207.08
1980-09-30,209.07
1980-10-31,212.27
1980-11-28,218.11
1980-12-31,216.23
1981-01-30,212.44
1981-02-27,211.76
1981-03-31,222.38
1981-04-30,227.70
1981-05-29,223.44
1981-06-30,224.32
1981-07-31,217.51
1981-08-31,212.52
1981-09-30,197.98
1981-10-30,201.48
1981-11-30,216.08
1981-12-31,210.36
1982-01-29,206.87
1982-02-26,196.50
1982-03-31,190.57
1982-04-30,197.94
1982-05-31,192.40
1982-06-30,183.07
1982-07-30,177.77
1982-08-31,190.25
1982-09-30,188.09
1982-10-29,201.12
1982-11-30,210.29
1982-12-31,219.59
1983-01-31,225.76
1983-02-28,230.17
1983-03-31,238.68
1983-04-29,255.97
1983-05-31,253.43
1983-06-30,258.09
1983-07-29,254.51
1983-08-31,257.00
1983-09-30,261.37
1983-10-31,259.52
1983-11-30,264.62
1983-12-30,267.46
1984-01-31,273.62
1984-02-29,267.36
1984-03-30,276.60
1984-04-30,275.55
1984-05-31,253.35
1984-06-29,252.21
1984-07-31,242.49
1984-08-31,266.15
1984-09-28,266.33
1984-10-31,265.25
1984-11-30,263.76
1984-12-31,269.38
1985-01-31,282.36
1985-02-28,281.45
1985-03-29,289.46
1985-04-30,291.23
1985-05-31,305.34
1985-06-28,310.69
1985-07-31,314.57
1985-08-30,318.47
1985-09-30,321.81
1985-10-31,339.73
1985-11-29,355.45
1985-12-31,370.40
1986-01-31,375.18
1986-02-28,407.77
1986-03-31,444.12
1986-04-30,456.96
1986-05-30,452.31
1986-06-30,469.95
1986-07-31,466.35
1986-08-29,513.37
1986-09-30,495.47
1986-10-31,489.43
1986-11-28,507.70
1986-12-31,513.87
1987-01-30,557.22
1987-02-27,568.88
1987-03-31,594.58
1987-04-30,621.78
1987-05-29,634.85
1987-06-30,646.42
1987-07-31,661.26
1987-08-31,690.11
1987-09-30,689.68
1987-10-30,579.24
1987-11-30,567.75
1987-12-31,597.33
1988-01-29,613.67
1988-02-29,645.65
1988-03-31,667.36
1988-04-29,682.94
1988-05-31,672.91
1988-06-30,676.84
1988-07-29,696.01
1988-08-31,651.21
1988-09-30,673.80
1988-10-31,713.17
1988-11-30,735.07
1988-12-30,741.13
1989-01-31,770.83
1989-02-28,768.71
1989-03-31,761.20
1989-04-28,779.26
1989-05-31,761.82
1989-06-30,753.95
1989-07-31,828.50
1989-08-31,809.20
1989-09-29,831.44
1989-10-31,800.10
1989-11-30,825.73
1989-12-29,854.54
1990-01-31,819.18
1990-02-28,788.93
1990-03-30,741.78
1990-04-30,727.71
1990-05-31,794.33
1990-06-29,785.47
1990-07-31,793.05
1990-08-31,716.22
1990-09-28,642.85
1990-10-31,693.65
1990-11-30,681.01
1990-12-31,690.67
1991-01-31,713.34
1991-02-28,778.91
1991-03-29,748.73
1991-04-30,752.92
1991-05-31,767.44
1991-06-28,718.69
1991-07-31,750.81
1991-08-30,743.58
1991-09-30,767.54
1991-10-31,771.99
1991-11-29,727.05
1991-12-31,769.24
1992-01-31,762.19
1992-02-28,751.37
1992-03-31,714.21
1992-04-30,739.69
1992-05-29,764.35
1992-06-30,738.84
1992-07-31,734.13
1992-08-31,741.62
1992-09-30,733.47
1992-10-30,708.14
1992-11-30,714.13
1992-12-31,721.13
1993-01-29,731.61
1993-02-26,755.32
1993-03-31,806.70
1993-04-30,854.99
1993-05-31,865.14
1993-06-30,857.26
1993-07-30,882.27
1993-08-31,922.65
1993-09-30,908.71
1993-10-29,924.66
1993-11-30,872.31
1993-12-31,920.83
1994-01-31,987.91
1994-02-28,973.60
1994-03-31,934.92
1994-04-29,965.12
1994-05-31,969.69
1994-06-30,969.99
1994-07-29,986.89
1994-08-31,1011.95
1994-09-30,979.57
1994-10-31,1009.99
1994-11-30,961.04
1994-12-30,962.91
1995-01-31,947.33
1995-02-28,958.08
1995-03-31,1001.58
1995-04-28,1032.20
1995-05-31,1039.48
1995-06-30,1035.43
1995-07-31,1086.01
1995-08-31,1065.95
1995-09-29,1089.11
1995-10-31,1064.30
1995-11-30,1102.35
1995-12-29,1139.61
1996-01-31,1158.30
1996-02-29,1161.78
1996-03-29,1181.38
1996-04-30,1209.78
1996-05-31,1202.44
1996-06-28,1205.75
1996-07-31,1163.18
1996-08-30,1177.81
1996-09-30,1213.75
1996-10-31,1223.96
1996-11-29,1296.74
1996-12-31,1278.08
1997-01-31,1288.63
1997-02-28,1301.72
1997-03-31,1278.24
1997-04-30,1301.01
1997-05-30,1383.38
1997-06-30,1442.67
1997-07-31,1506.55
1997-08-29,1415.06
1997-09-30,1484.85
1997-10-31,1421.55
1997-11-28,1433.40
1997-12-31,1452.93
1998-01-30,1474.58
1998-02-27,1567.36
1998-03-31,1643.50
1998-04-30,1663.72
1998-05-29,1638.15
1998-06-30,1643.01
1998-07-31,1638.12
1998-08-31,1388.89
1998-09-30,1404.47
1998-10-30,1533.79
1998-11-30,1614.92
1998-12-31,1651.45
1999-01-29,1661.50
1999-02-26,1639.08
1999-03-31,1712.54
1999-04-30,1847.44
1999-05-31,1774.74
1999-06-30,1831.05
1999-07-30,1836.74
1999-08-31,1807.02
1999-09-30,1766.83
1999-10-29,1832.16
1999-11-30,1823.75
1999-12-31,1901.61
2000-01-31,1802.43
2000-02-29,1737.72
2000-03-31,1875.56
2000-04-28,1840.97
2000-05-31,1852.01
2000-06-30,1865.62
2000-07-31,1850.53
2000-08-31,1903.23
2000-09-29,1869.92
2000-10-31,1881.91
2000-11-30,1793.72
2000-12-29,1876.92
2001-01-31,1894.53
2001-02-28,1799.79
2001-03-30,1705.12
2001-04-30,1817.02
2001-05-31,1800.63
2001-06-29,1747.62
2001-07-31,1725.50
2001-08-31,1661.20
2001-09-28,1505.34
2001-10-31,1500.86
2001-11-30,1562.95
2001-12-31,1573.58
2002-01-31,1528.00
2002-02-28,1496.05
2002-03-29,1590.56
2002-04-30,1544.79
2002-05-31,1553.76
2002-06-28,1452.54
2002-07-31,1309.25
2002-08-30,1311.52
2002-09-30,1151.46
2002-10-31,1230.24
2002-11-29,1316.30
2002-12-31,1239.15
