date,price
1970-01-07,100.67
1970-01-14,99.77
1970-01-21,98.38
1970-01-28,95.91
1970-01-30,94.25
1970-02-04,95.91
1970-02-11,95.47
1970-02-18,95.63
1970-02-25,96.87
1970-02-27,96.98
1970-03-04,96.98
1970-03-11,96.98
1970-03-18,96.98
1970-03-25,96.98
1970-03-31,97.07
1970-04-01,97.01
1970-04-08,95.78
1970-04-15,94.14
1970-04-22,91.49
1970-04-29,88.10
1970-04-30,87.80
1970-05-06,86.35
1970-05-13,83.55
1970-05-20,79.99
1970-05-25,77.91
1970-05-29,82.06
1970-06-03,84.14
1970-06-10,81.63
1970-06-17,81.97
1970-06-24,80.52
1970-06-30,79.84
1970-07-01,80.05
1970-07-08,79.60
1970-07-15,81.17
1970-07-22,82.83
1970-07-29,84.08
1970-07-31,84.59
1970-08-05,84.03
1970-08-12,82.52
1970-08-19,83.45
1970-08-26,87.00
1970-08-31,87.17
1970-09-02,86.57
1970-09-09,88.16
1970-09-16,87.20
1970-09-23,88.38
1970-09-30,89.79
1970-10-07,92.01
1970-10-14,89.82
1970-10-21,89.32
1970-10-28,88.71
1970-10-30,88.26
1970-11-04,89.18
1970-11-11,89.20
1970-11-18,87.11
1970-11-25,88.53
1970-11-30,90.03
1970-12-02,91.20
1970-12-09,91.81
1970-12-16,92.14
1970-12-23,92.59
1970-12-30,94.38
1970-12-31,94.29
1971-01-06,94.71
1971-01-13,95.49
1971-01-20,96.49
1971-01-27,97.65
1971-01-29,98.42
1971-02-03,99.03
1971-02-10,99.39
1971-02-17,100.68
1971-02-24,99.41
1971-02-26,99.25
1971-03-03,99.36
1971-03-10,101.73
1971-03-17,103.10
1971-03-24,102.32
1971-03-31,103.41
1971-04-02,103.67
1971-04-09,104.68
1971-04-16,105.63
1971-04-23,106.18
1971-04-30,106.59
1971-05-06,105.74
1971-05-07,105.80
1971-05-14,105.74
1971-05-21,104.66
1971-05-28,103.85
1971-05-31,103.86
1971-06-04,105.38
1971-06-11,105.16
1971-06-18,104.00
1971-06-25,103.16
