date,price
1965-01-05,1257.72
1965-01-06,1263.99
1965-01-07,1274.27
1965-01-08,1286.43
1965-01-12,1288.54
1965-01-13,1281.67
1965-01-14,1289.50
1965-01-18,1271.68
1965-01-19,1270.34
1965-01-20,1268.88
1965-01-21,1270.46
1965-01-22,1261.83
1965-01-25,1249.72
1965-01-26,1248.05
1965-01-27,1258.21
1965-01-28,1247.20
1965-01-29,1242.27
1965-02-01,1242.83
1965-02-02,1238.75
1965-02-03,1248.03
1965-02-04,1261.60
1965-02-05,1263.59
1965-02-08,1258.93
1965-02-09,1251.68
1965-02-10,1248.61
1965-02-12,1257.94
1965-02-15,1249.50
1965-02-16,1247.01
1965-02-17,1237.08
1965-02-18,1241.41
1965-02-19,1237.35
1965-02-22,1224.82
1965-02-23,1223.59
1965-02-24,1219.10
1965-02-25,1216.71
1965-02-26,1213.07
1965-03-01,1206.48
1965-03-02,1202.54
1965-03-03,1207.82
1965-03-04,1213.03
1965-03-05,1209.64
1965-03-08,1190.98
1965-03-09,1178.43
1965-03-10,1173.34
1965-03-11,1164.63
1965-03-12,1175.86
1965-03-15,1188.49
1965-03-16,1181.22
1965-03-17,1175.80
1965-03-18,1182.69
1965-03-19,1175.88
1965-03-23,1167.79
1965-03-24,1157.05
1965-03-25,1157.07
1965-03-26,1162.77
1965-03-29,1188.79
1965-03-30,1139.80
1965-03-31,1132.77
1965-04-01,1127.58
1965-04-02,1128.57
1965-04-05,1124.45
1965-04-06,1154.39
1965-04-07,1159.98
1965-04-08,1183.12
1965-04-09,1180.57
1965-04-12,1163.00
1965-04-13,1149.41
1965-04-14,1142.23
1965-04-15,1161.73
1965-04-16,1148.21
1965-04-19,1136.13
1965-04-20,1131.17
1965-04-21,1119.86
1965-04-22,1144.55
1965-04-23,1133.30
1965-04-26,1144.22
1965-04-27,1150.08
1965-04-28,1171.06
1965-04-30,1176.64
1965-05-06,1163.51
1965-05-07,1162.63
1965-05-10,1162.50
1965-05-11,1163.87
1965-05-12,1157.17
1965-05-13,1159.86
1965-05-14,1150.47
1965-05-17,1149.00
1965-05-18,1147.25
1965-05-19,1140.79
1965-05-20,1141.23
1965-05-21,1142.69
1965-05-24,1133.63
1965-05-25,1124.83
1965-05-26,1117.66
1965-05-27,1101.00
1965-05-28,1081.51
1965-05-31,1096.60
1965-06-01,1092.85
1965-06-02,1119.26
1965-06-03,1131.32
1965-06-04,1120.53
1965-06-07,1114.52
1965-06-08,1109.42
1965-06-09,1101.35
1965-06-10,1090.38
1965-06-11,1093.14
1965-06-14,1080.29
1965-06-15,1069.07
1965-06-16,1062.68
1965-06-17,1055.60
1965-06-18,1080.21
1965-06-21,1075.60
1965-06-22,1104.03
1965-06-23,1091.17
1965-06-24,1090.66
1965-06-25,1096.56
1965-06-28,1072.41
1965-06-29,1067.72
1965-06-30,1060.11
1965-07-01,1064.59
1965-07-02,1065.89
1965-07-05,1049.07
1965-07-06,1046.98
1965-07-07,1037.52
1965-07-08,1038.45
1965-07-09,1032.95
1965-07-12,1020.49
1965-07-13,1026.77
1965-07-14,1033.14
1965-07-15,1024.68
1965-07-16,1037.97
1965-07-19,1037.52
1965-07-21,1045.69
1965-07-22,1036.07
1965-07-23,1027.85
1965-07-26,1034.34
1965-07-27,1052.06
1965-07-28,1066.19
1965-07-29,1085.41
1965-07-30,1097.20
