date,price
1985-01-29,1292.62
1985-01-30,1287.88
1985-01-31,1286.77
1985-02-01,1277.72
1985-02-04,1290.08
1985-02-05,1285.23
1985-02-06,1280.59
1985-02-07,1290.08
1985-02-08,1289.97
1985-02-11,1276.06
1985-02-12,1276.61
1985-02-13,1297.92
1985-02-14,1287.88
1985-02-15,1282.02
1985-02-19,1280.59
1985-02-20,1283.13
1985-02-21,1279.04
1985-02-22,1275.84
1985-02-25,1277.50
1985-02-26,1286.11
1985-02-27,1281.03
1985-02-28,1284.01
1985-03-01,1299.36
1985-03-04,1289.53
1985-03-05,1291.85
1985-03-06,1280.37
1985-03-07,1271.53
1985-03-08,1269.66
1985-03-11,1268.55
1985-03-12,1271.75
1985-03-13,1261.70
1985-03-14,1260.05
1985-03-15,1247.35
1985-03-18,1249.67
1985-03-19,1271.09
1985-03-20,1265.24
1985-03-21,1268.22
1985-03-22,1267.45
1985-03-25,1259.94
1985-03-26,1259.72
1985-03-27,1264.91
1985-03-28,1260.71
1985-03-29,1266.78
1985-04-01,1272.75
1985-04-02,1265.68
1985-04-03,1258.06
1985-04-04,1259.05
1985-04-08,1252.98
1985-04-09,1253.86
1985-04-10,1259.94
1985-04-11,1263.69
1985-04-12,1265.68
1985-04-15,1266.78
1985-04-16,1269.55
1985-04-17,1272.31
1985-04-18,1265.13
1985-04-19,1266.56
1985-04-22,1266.56
1985-04-23,1278.71
1985-04-24,1278.49
1985-04-25,1284.78
1985-04-26,1275.18
1985-04-29,1259.72
1985-04-30,1258.06
1985-05-01,1242.05
1985-05-02,1242.27
1985-05-03,1247.24
1985-05-06,1247.79
1985-05-07,1252.75
1985-05-08,1249.78
1985-05-09,1260.27
1985-05-10,1274.18
1985-05-13,1277.50
1985-05-14,1273.30
1985-05-15,1273.52
1985-05-16,1278.05
1985-05-17,1285.34
1985-05-20,1304.88
1985-05-21,1309.70
1985-05-22,1303.76
1985-05-23,1296.71
1985-05-24,1301.97
1985-05-28,1301.52
1985-05-29,1302.98
1985-05-30,1305.78
1985-05-31,1315.41
1985-06-03,1310.93
1985-06-04,1315.30
1985-06-05,1320.56
1985-06-06,1327.28
1985-06-07,1316.42
1985-06-10,1318.44
1985-06-11,1313.84
1985-06-12,1306.34
1985-06-13,1290.10
1985-06-14,1300.96
1985-06-17,1298.39
1985-06-18,1304.77
1985-06-19,1297.38
1985-06-20,1299.73
1985-06-21,1324.48
1985-06-24,1320.56
1985-06-25,1323.03
1985-06-26,1323.81
1985-06-27,1332.21
1985-06-28,1335.46
1985-07-01,1337.14
1985-07-02,1334.01
1985-07-03,1326.39
1985-07-05,1334.45
1985-07-08,1328.41
1985-07-09,1321.91
1985-07-10,1332.89
1985-07-11,1337.70
1985-07-12,1338.60
1985-07-15,1335.46
1985-07-16,1347.89
1985-07-17,1357.97
1985-07-18,1350.92
1985-07-19,1359.54
1985-07-22,1357.64
1985-07-23,1351.81
1985-07-24,1348.90
1985-07-25,1353.61
1985-07-26,1357.08
1985-07-29,1343.86
1985-07-30,1346.10
1985-07-31,1347.45
1985-08-01,1355.62
1985-08-02,1353.05
1985-08-05,1346.89
1985-08-06,1325.16
1985-08-07,1325.04
1985-08-08,1329.86
1985-08-09,1320.79
1985-08-12,1314.29
1985-08-13,1315.30
1985-08-14,1316.98
1985-08-15,1317.76
1985-08-16,1312.72
1985-08-19,1312.50
1985-08-20,1323.70
1985-08-21,1329.53
1985-08-22,1318.10
1985-08-23,1318.32
1985-08-26,1317.65
1985-08-27,1322.47
1985-08-28,1331.09
1985-08-29,1335.13
1985-08-30,1334.01
1985-09-03,1329.19
1985-09-04,1326.72
1985-09-05,1325.83
1985-09-06,1335.69
1985-09-09,1339.27
1985-09-10,1333.45
1985-09-11,1319.44
1985-09-12,1312.39
1985-09-13,1307.68
1985-09-16,1309.14
1985-09-17,1298.16
1985-09-18,1300.40
1985-09-19,1306.79
1985-09-20,1297.94
1985-09-23,1316.31
1985-09-24,1321.12
1985-09-25,1312.05
1985-09-26,1320.79
1985-09-30,1328.63
1985-10-01,1340.95
1985-10-02,1333.67
1985-10-03,1333.11
1985-10-04,1328.74
1985-10-07,1324.37
1985-10-08,1325.49
1985-10-09,1326.72
1985-10-10,1328.07
1985-10-11,1339.94
1985-10-14,1354.73
1985-10-15,1350.81
1985-10-16,1368.50
1985-10-17,1369.29
1985-10-18,1368.84
1985-10-21,1364.14
1985-10-22,1364.36
1985-10-23,1367.16
1985-10-24,1362.34
1985-10-25,1356.52
1985-10-28,1359.99
1985-10-29,1368.73
1985-10-30,1375.57
1985-10-31,1374.31
1985-11-01,1390.25
1985-11-04,1389.68
1985-11-05,1396.67
1985-11-06,1403.44
1985-11-07,1399.54
1985-11-08,1404.36
1985-11-11,1431.88
1985-11-12,1433.60
1985-11-13,1427.75
1985-11-14,1439.22
1985-11-15,1435.09
1985-11-18,1440.02
1985-11-19,1438.99
1985-11-20,1439.22
1985-11-21,1462.27
1985-11-22,1464.33
1985-11-25,1456.65
1985-11-26,1456.77
1985-11-27,1475.69
1985-11-29,1472.13
1985-12-02,1457.91
1985-12-03,1459.06
1985-12-04,1484.40
1985-12-05,1482.91
1985-12-06,1477.18
1985-12-09,1497.02
1985-12-10,1499.20
1985-12-11,1511.70
1985-12-12,1511.24
1985-12-13,1535.21
1985-12-16,1553.10
1985-12-17,1544.50
1985-12-18,1542.43
1985-12-19,1543.92
1985-12-20,1543.00
1985-12-23,1528.78
1985-12-24,1519.15
1985-12-26,1526.49
1985-12-27,1543.00
1985-12-30,1550.46
1985-12-31,1546.67
1986-01-02,1537.73
1986-01-03,1549.20
1986-01-06,1547.59
1986-01-07,1565.71
1986-01-08,1526.61
1986-01-09,1518.23
1986-01-10,1513.53
1986-01-13,1520.53
1986-01-14,1519.04
1986-01-15,1527.29
1986-01-16,1541.63
1986-01-17,1536.70
1986-01-20,1529.13
1986-01-21,1514.45
1986-01-22,1502.29
1986-01-23,1511.24
1986-01-24,1529.93
1986-01-27,1537.61
1986-01-28,1556.42
1986-01-29,1558.94
1986-01-30,1552.18
1986-01-31,1570.99
1986-02-03,1594.27
1986-02-04,1593.23
1986-02-05,1593.12
1986-02-06,1600.69
1986-02-07,1613.42
1986-02-10,1626.38
1986-02-11,1622.82
1986-02-12,1629.93
1986-02-13,1645.07
1986-02-14,1664.45
1986-02-18,1678.78
1986-02-19,1658.26
1986-02-20,1672.82
1986-02-21,1697.71
1986-02-24,1698.28
1986-02-25,1692.66
1986-02-26,1696.90
1986-02-27,1713.99
1986-02-28,1709.06
1986-03-03,1696.67
1986-03-04,1686.42
1986-03-05,1686.66
1986-03-06,1696.60
1986-03-07,1699.83
1986-03-10,1702.95
1986-03-11,1746.05
1986-03-12,1745.45
1986-03-13,1753.71
1986-03-14,1792.74
1986-03-17,1776.86
1986-03-18,1789.87
1986-03-19,1787.95
1986-03-20,1804.24
1986-03-21,1768.56
1986-03-24,1782.93
1986-03-25,1778.50
1986-03-26,1810.70
1986-03-27,1821.72
1986-03-31,1818.61
1986-04-01,1790.11
1986-04-02,1795.26
1986-04-03,1766.40
1986-04-04,1739.22
1986-04-07,1735.51
1986-04-08,1769.76
1986-04-09,1778.62
1986-04-10,1794.30
1986-04-11,1790.18
1986-04-14,1805.31
1986-04-15,1809.65
1986-04-16,1847.97
1986-04-17,1855.03
1986-04-18,1840.40
1986-04-21,1855.90
1986-04-22,1830.98
1986-04-23,1829.61
1986-04-24,1831.72
1986-04-25,1835.57
1986-04-28,1843.75
1986-04-29,1825.89
1986-04-30,1783.98
1986-05-01,1777.78
1986-05-02,1774.68
1986-05-05,1793.77
1986-05-06,1787.95
1986-05-07,1775.30
1986-05-08,1786.21
1986-05-09,1789.43
1986-05-12,1787.33
1986-05-13,1785.34
1986-05-14,1808.28
1986-05-15,1774.68
1986-05-16,1759.80
1986-05-19,1758.18
1986-05-20,1783.98
1986-05-21,1775.17
1986-05-22,1806.30
1986-05-23,1823.29
1986-05-27,1853.03
1986-05-28,1878.28
1986-05-29,1882.35
1986-05-30,1876.71
1986-06-02,1861.95
1986-06-03,1870.43
1986-06-04,1863.29
1986-06-05,1879.44
1986-06-06,1885.90
1986-06-09,1840.15
1986-06-10,1837.19
1986-06-11,1846.07
1986-06-12,1838.13
1986-06-13,1874.19
1986-06-16,1871.77
1986-06-17,1865.78
1986-06-18,1868.94
1986-06-19,1855.86
1986-06-20,1879.54
1986-06-23,1864.26
1986-06-24,1875.55
1986-06-25,1885.05
1986-06-26,1880.20
1986-06-27,1885.26
1986-06-30,1892.72
1986-07-01,1903.54
1986-07-02,1909.03
1986-07-03,1900.87
1986-07-07,1838.86
1986-07-08,1820.73
1986-07-09,1826.07
1986-07-10,1831.83
1986-07-11,1821.43
1986-07-14,1793.45
1986-07-15,1768.70
1986-07-16,1774.18
1986-07-17,1781.78
1986-07-18,1777.98
1986-07-21,1779.11
1986-07-22,1795.13
1986-07-23,1798.37
1986-07-24,1791.62
1986-07-25,1810.04
1986-07-28,1773.90
1986-07-29,1766.87
1986-07-30,1779.39
1986-07-31,1775.31
1986-08-01,1763.64
1986-08-04,1769.97
1986-08-05,1777.00
1986-08-06,1779.53
1986-08-07,1786.28
1986-08-08,1782.62
1986-08-11,1811.16
1986-08-12,1835.49
1986-08-13,1844.49
1986-08-14,1844.91
1986-08-15,1855.60
1986-08-18,1869.52
1986-08-19,1862.91
1986-08-20,1881.33
1986-08-21,1881.19
1986-08-22,1887.80
1986-08-25,1871.77
1986-08-26,1904.25
1986-08-27,1904.53
1986-08-28,1900.17
1986-08-29,1898.34
1986-09-02,1870.36
1986-09-03,1881.33
1986-09-04,1919.71
1986-09-05,1899.75
1986-09-08,1888.64
1986-09-09,1884.14
1986-09-10,1879.50
1986-09-11,1792.89
