date,price
2000-03-23,97.06
2000-03-24,96.38
2000-03-27,96.09
2000-03-28,96.16
2000-03-29,96.09
2000-03-30,97.22
2000-03-31,97.66
2000-04-03,97.81
2000-04-04,98.69
2000-04-05,98.41
2000-04-06,98.53
2000-04-07,99.31
2000-04-10,99.34
2000-04-11,98.38
2000-04-12,97.72
2000-04-13,98.25
2000-04-14,98.25
2000-04-17,97.16
2000-04-18,97.06
2000-04-19,98.00
2000-04-20,97.78
2000-04-24,97.66
2000-04-25,97.03
2000-04-26,96.91
2000-04-27,96.28
2000-04-28,96.69
2000-05-01,96.47
2000-05-02,95.84
2000-05-03,94.75
2000-05-04,93.88
2000-05-05,93.50
2000-05-08,92.88
2000-05-09,93.44
2000-05-10,94.06
2000-05-11,94.28
2000-05-12,93.59
2000-05-15,94.00
2000-05-16,94.56
2000-05-17,93.94
2000-05-19,93.22
2000-05-22,94.00
2000-05-23,93.94
2000-05-24,93.69
2000-05-25,94.81
2000-05-26,95.25
2000-05-30,95.13
2000-05-31,95.16
2000-06-01,95.66
2000-06-02,97.00
2000-06-05,96.94
2000-06-06,96.78
2000-06-07,96.88
2000-06-08,97.31
2000-06-09,97.31
2000-06-12,97.38
2000-06-13,97.59
2000-06-14,96.75
2000-06-15,96.97
2000-06-16,96.97
2000-06-19,96.97
2000-06-20,97.50
2000-06-21,97.16
2000-06-22,96.53
2000-06-23,96.53
2000-06-26,96.47
2000-06-27,96.78
2000-06-28,96.53
2000-06-29,97.53
2000-06-30,97.69
2000-07-03,97.78
2000-07-05,97.75
2000-07-06,97.19
2000-07-07,97.44
2000-07-10,97.56
2000-07-11,97.56
2000-07-12,97.53
2000-07-13,98.56
2000-07-14,97.53
2000-07-17,96.84
2000-07-18,96.94
2000-07-19,96.88
2000-07-20,98.44
2000-07-21,98.69
2000-07-24,98.44
2000-07-25,98.53
2000-07-26,98.47
2000-07-27,98.91
2000-07-28,98.59
2000-07-31,98.56
2000-08-01,99.03
2000-08-02,99.03
2000-08-03,99.38
2000-08-04,99.13
2000-08-07,99.34
2000-08-08,99.66
2000-08-09,99.75
2000-08-10,100.13
2000-08-11,99.66
2000-08-14,100.00
2000-08-15,99.78
2000-08-16,99.50
2000-08-17,99.78
2000-08-18,100.09
2000-08-21,99.81
2000-08-22,99.94
2000-08-23,100.41
2000-08-24,100.50
2000-08-25,100.25
2000-08-28,99.81
2000-08-29,99.53
2000-08-30,99.69
2000-08-31,100.53
2000-09-01,100.56
2000-09-05,100.53
2000-09-06,100.03
2000-09-07,99.84
2000-09-08,100.06
2000-09-11,99.63
2000-09-12,99.41
2000-09-13,99.94
2000-09-14,100.09
2000-09-15,98.38
2000-09-18,97.84
2000-09-19,97.94
2000-09-20,98.13
2000-09-21,98.47
2000-09-22,98.13
2000-09-25,98.38
2000-09-26,98.84
2000-09-27,98.38
2000-09-28,98.56
2000-09-29,98.63
2000-10-02,98.19
2000-10-03,97.91
2000-10-04,97.88
2000-10-05,98.38
2000-10-06,99.09
2000-10-09,98.88
2000-10-10,99.38
2000-10-11,99.25
2000-10-12,99.53
2000-10-13,99.44
2000-10-16,99.38
2000-10-17,100.03
2000-10-18,100.00
2000-10-19,100.31
2000-10-20,100.66
2000-10-23,101.22
2000-10-24,100.81
2000-10-25,100.34
2000-10-26,100.50
2000-10-27,100.44
2000-10-30,100.25
2000-10-31,99.78
2000-11-01,100.03
2000-11-02,99.94
2000-11-03,99.09
2000-11-06,98.75
2000-11-07,98.78
2000-11-08,99.13
2000-11-09,99.28
2000-11-10,99.31
2000-11-13,99.66
2000-11-14,99.97
2000-11-15,100.44
2000-11-16,100.81
2000-11-17,100.38
2000-11-20,100.56
2000-11-21,100.88
2000-11-22,101.81
2000-11-24,101.53
2000-11-27,101.28
2000-11-28,101.50
2000-11-29,101.94
2000-11-30,102.31
2000-12-01,102.09
2000-12-04,101.66
2000-12-05,102.72
2000-12-06,103.72
2000-12-07,103.69
2000-12-08,103.66
2000-12-11,103.38
2000-12-12,103.44
2000-12-13,104.22
2000-12-14,104.53
2000-12-15,104.53
2000-12-18,104.50
2000-12-19,104.22
2000-12-20,105.41
2000-12-21,105.28
2000-12-22,105.41
2000-12-26,105.38
2000-12-27,104.72
2000-12-28,104.72
2000-12-29,104.69
2001-01-02,106.34
2001-01-03,104.16
2001-01-04,104.97
2001-01-05,105.81
2001-01-08,105.34
2001-01-09,105.28
2001-01-10,104.34
2001-01-11,103.84
2001-01-12,102.97
2001-01-16,103.22
2001-01-17,104.03
2001-01-18,104.53
2001-01-19,103.69
2001-01-22,103.25
2001-01-23,102.59
2001-01-24,102.50
2001-01-25,103.19
2001-01-26,102.75
2001-01-29,102.38
2001-01-30,103.41
2001-01-31,104.38
2001-02-01,104.88
2001-02-02,104.31
2001-02-05,104.59
2001-02-06,104.50
2001-02-07,104.16
2001-02-08,104.38
2001-02-09,104.91
2001-02-12,104.44
2001-02-13,104.38
2001-02-14,103.81
2001-02-15,103.34
2001-02-16,103.81
2001-02-20,103.78
2001-02-21,103.44
2001-02-22,103.09
2001-02-23,103.84
2001-02-26,104.44
2001-02-27,105.47
2001-02-28,105.84
2001-03-01,105.97
2001-03-02,105.16
2001-03-05,105.06
2001-03-06,105.03
2001-03-07,105.78
2001-03-08,105.88
2001-03-09,105.69
2001-03-12,105.84
2001-03-13,105.63
2001-03-14,106.53
2001-03-15,106.75
2001-03-16,106.81
2001-03-19,106.41
2001-03-20,106.91
2001-03-21,106.56
2001-03-22,106.53
2001-03-23,105.97
2001-03-26,105.28
2001-03-27,104.06
2001-03-28,104.06
2001-03-29,103.59
2001-03-30,104.38
2001-04-02,103.88
2001-04-03,104.03
2001-04-04,104.16
2001-04-05,103.59
2001-04-06,104.63
2001-04-09,104.06
2001-04-10,102.38
2001-04-11,102.31
2001-04-12,102.19
2001-04-16,101.38
2001-04-17,101.69
2001-04-18,101.88
2001-04-19,100.19
2001-04-20,100.34
2001-04-23,101.28
2001-04-24,100.84
2001-04-25,100.69
2001-04-26,101.56
2001-04-27,100.28
2001-04-30,100.38
2001-05-01,101.06
2001-05-02,101.56
2001-05-03,102.31
2001-05-04,102.03
2001-05-07,102.09
2001-05-08,101.44
2001-05-09,102.19
2001-05-10,100.91
2001-05-11,99.63
2001-05-14,99.63
2001-05-15,98.91
2001-05-16,99.53
2001-05-17,100.38
2001-05-18,100.38
2001-05-21,100.56
2001-05-22,100.22
2001-05-23,100.19
2001-05-24,99.31
2001-05-25,99.28
2001-05-29,99.13
2001-05-30,99.38
2001-05-31,100.34
2001-06-01,101.03
2001-06-04,101.28
2001-06-05,101.59
2001-06-06,101.75
2001-06-07,101.03
2001-06-08,100.88
2001-06-11,101.50
2001-06-12,101.94
2001-06-13,101.84
2001-06-14,102.31
2001-06-15,102.25
2001-06-18,101.78
2001-06-19,101.34
2001-06-20,102.19
2001-06-21,102.03
2001-06-22,102.66
2001-06-25,102.47
2001-06-26,101.63
2001-06-27,101.81
2001-06-28,101.09
2001-06-29,100.09
2001-07-02,101.03
2001-07-03,100.53
2001-07-05,100.25
2001-07-06,100.56
2001-07-09,101.03
2001-07-10,101.44
2001-07-11,101.13
2001-07-12,101.63
2001-07-13,101.94
2001-07-16,102.47
2001-07-17,102.19
2001-07-18,103.44
2001-07-19,103.22
2001-07-20,103.03
2001-07-23,103.38
2001-07-24,103.50
2001-07-25,102.78
2001-07-26,103.03
2001-07-27,103.50
2001-07-30,103.81
2001-07-31,103.84
2001-08-01,103.75
2001-08-02,103.09
2001-08-03,103.06
2001-08-06,102.97
2001-08-07,102.88
2001-08-08,104.09
2001-08-09,103.63
2001-08-10,104.13
2001-08-13,104.03
2001-08-14,104.06
2001-08-15,103.91
2001-08-16,104.41
2001-08-17,105.28
2001-08-20,104.81
2001-08-21,105.16
2001-08-22,105.13
2001-08-23,105.41
2001-08-24,104.94
2001-08-27,104.91
2001-08-28,105.63
2001-08-29,106.22
2001-08-30,105.88
2001-08-31,106.06
2001-09-04,104.56
2001-09-05,104.63
2001-09-06,105.44
2001-09-07,106.22
2001-09-10,105.38
2001-09-11,105.44
2001-09-12,106.63
2001-09-13,106.50
2001-09-14,106.88
2001-09-17,106.38
2001-09-18,105.06
2001-09-19,104.63
2001-09-20,102.78
2001-09-21,103.31
2001-09-24,103.38
2001-09-25,103.56
2001-09-26,104.56
2001-09-27,105.34
2001-09-28,105.47
2001-10-01,106.09
2001-10-02,106.66
2001-10-03,106.91
2001-10-04,106.94
2001-10-05,106.78
2001-10-09,105.91
2001-10-10,106.13
2001-10-11,105.50
2001-10-12,105.31
2001-10-15,106.09
2001-10-16,106.44
2001-10-17,106.84
2001-10-18,106.75
2001-10-19,106.31
2001-10-22,106.06
2001-10-23,106.06
2001-10-24,106.88
2001-10-25,107.41
2001-10-26,107.72
2001-10-29,107.88
2001-10-30,108.56
2001-10-31,110.69
2001-11-01,110.81
2001-11-02,109.28
2001-11-05,110.16
2001-11-06,110.63
2001-11-07,111.63
2001-11-08,110.59
2001-11-09,110.41
2001-11-13,109.81
2001-11-14,108.47
2001-11-15,105.94
2001-11-16,105.28
2001-11-19,105.84
2001-11-20,104.94
2001-11-21,104.06
2001-11-23,103.47
2001-11-26,103.31
2001-11-27,104.00
2001-11-28,103.69
2001-11-29,105.00
2001-11-30,104.63
2001-12-03,105.34
2001-12-04,106.09
2001-12-05,103.88
2001-12-06,102.66
2001-12-07,101.13
2001-12-10,101.03
