"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 27, 2020","436.60","447.53","450.08","433.14","-","-2.39%"
"Mar 26, 2020","447.31","428.09","448.33","426.62","-","4.62%"
"Mar 25, 2020","427.57","416.73","438.16","416.73","-","2.71%"
"Mar 24, 2020","416.27","384.33","416.34","384.25","-","8.39%"
"Mar 23, 2020","384.04","396.18","396.51","379.00","-","-3.29%"
"Mar 20, 2020","397.12","403.18","414.16","395.71","-","-1.69%"
"Mar 19, 2020","403.95","403.01","409.18","391.51","-","0.30%"
"Mar 18, 2020","402.73","424.62","425.68","390.38","-","-5.06%"
"Mar 17, 2020","424.21","409.69","427.71","404.96","-","3.50%"
"Mar 16, 2020","409.88","451.78","452.01","409.20","-","-9.14%"
"Mar 13, 2020","451.09","429.19","451.30","422.86","-","5.27%"
"Mar 12, 2020","428.50","473.10","473.10","428.50","-","-9.51%"
"Mar 11, 2020","473.55","491.00","491.82","469.83","-","-3.64%"
"Mar 10, 2020","491.46","478.37","491.46","476.45","-","2.71%"
"Mar 09, 2020","478.50","515.17","515.22","478.01","-","-7.07%"
"Mar 06, 2020","514.88","526.08","526.08","507.79","-","-2.05%"
"Mar 05, 2020","525.64","536.18","538.02","523.31","-","-1.97%"
"Mar 04, 2020","536.20","522.17","536.21","521.63","-","2.68%"
"Mar 03, 2020","522.21","528.75","537.16","519.54","-","-1.18%"
"Mar 02, 2020","528.45","513.41","528.65","512.46","-","3.06%"
"Feb 28, 2020","512.76","522.11","522.13","501.13","-","-1.76%"
"Feb 27, 2020","521.92","539.84","539.88","521.92","-","-3.32%"
"Feb 26, 2020","539.82","542.28","547.30","538.93","-","-0.57%"
"Feb 25, 2020","542.91","555.61","556.07","542.03","-","-2.31%"
"Feb 24, 2020","555.73","572.40","572.45","554.74","-","-2.96%"
"Feb 21, 2020","572.68","576.77","577.00","571.79","-","-0.75%"
"Feb 20, 2020","577.03","579.82","580.50","573.74","-","-0.49%"
"Feb 19, 2020","579.87","577.01","580.36","576.96","-","0.44%"
"Feb 18, 2020","577.32","580.09","580.11","575.58","-","-0.47%"
"Feb 17, 2020","580.02","580.04","580.38","579.39","-","-0.01%"
"Feb 14, 2020","580.06","579.56","580.31","578.70","-","0.06%"
"Feb 13, 2020","579.74","580.80","580.99","577.83","-","-0.22%"
"Feb 12, 2020","581.02","577.59","581.02","577.38","-","0.61%"
"Feb 11, 2020","577.51","574.94","579.45","574.94","-","0.43%"
"Feb 10, 2020","575.02","573.17","575.02","571.51","-","0.26%"
"Feb 07, 2020","573.55","576.63","576.64","572.62","-","-0.54%"
"Feb 06, 2020","576.68","573.59","576.94","573.58","-","0.56%"
"Feb 05, 2020","573.46","568.74","573.81","568.74","-","0.85%"
"Feb 04, 2020","568.65","560.38","569.68","560.25","-","1.47%"
"Feb 03, 2020","560.40","558.45","562.58","557.13","-","0.32%"
"Jan 31, 2020","558.62","565.46","566.49","557.53","-","-1.22%"
"Jan 30, 2020","565.50","567.38","567.39","560.92","-","-0.33%"
"Jan 29, 2020","567.35","567.71","569.38","566.90","-","-0.01%"
"Jan 28, 2020","567.40","563.89","568.54","562.90","-","0.60%"
