"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 27, 2020","1,827.17","1,876.21","1,884.92","1,811.35","-","-2.58%"
"Mar 26, 2020","1,875.56","1,788.40","1,879.92","1,779.88","-","5.02%"
"Mar 25, 2020","1,785.99","1,745.35","1,834.67","1,739.01","-","2.49%"
"Mar 24, 2020","1,742.61","1,605.52","1,742.61","1,605.43","-","8.77%"
"Mar 23, 2020","1,602.11","1,647.45","1,652.22","1,579.14","-","-2.96%"
"Mar 20, 2020","1,650.94","1,690.04","1,729.69","1,644.91","-","-2.57%"
"Mar 19, 2020","1,694.45","1,684.07","1,717.87","1,636.94","-","0.73%"
"Mar 18, 2020","1,682.25","1,774.56","1,778.49","1,626.51","-","-5.11%"
"Mar 17, 2020","1,772.93","1,702.25","1,788.52","1,683.91","-","4.12%"
"Mar 16, 2020","1,702.79","1,885.08","1,885.45","1,699.79","-","-9.51%"
"Mar 13, 2020","1,881.64","1,778.10","1,882.28","1,760.17","-","5.92%"
"Mar 12, 2020","1,776.52","1,970.61","1,970.61","1,776.52","-","-9.91%"
"Mar 11, 2020","1,972.04","2,049.04","2,054.74","1,956.02","-","-3.89%"
"Mar 10, 2020","2,051.96","1,994.60","2,051.96","1,982.51","-","2.84%"
"Mar 09, 2020","1,995.22","2,152.33","2,152.46","1,992.29","-","-7.17%"
"Mar 06, 2020","2,149.29","2,194.79","2,194.79","2,116.32","-","-1.96%"
"Mar 05, 2020","2,192.35","2,243.17","2,248.62","2,182.53","-","-2.26%"
"Mar 04, 2020","2,243.09","2,179.29","2,243.22","2,175.99","-","2.92%"
"Mar 03, 2020","2,179.48","2,212.99","2,249.35","2,167.64","-","-1.49%"
"Mar 02, 2020","2,212.38","2,144.07","2,212.53","2,139.85","-","3.33%"
"Feb 28, 2020","2,141.12","2,175.92","2,176.00","2,087.86","-","-1.66%"
"Feb 27, 2020","2,177.25","2,258.95","2,259.07","2,177.16","-","-3.60%"
"Feb 26, 2020","2,258.62","2,269.19","2,291.63","2,254.23","-","-0.48%"
"Feb 25, 2020","2,269.42","2,328.51","2,330.67","2,265.53","-","-2.63%"
"Feb 24, 2020","2,330.75","2,401.75","2,401.99","2,326.23","-","-3.00%"
"Feb 21, 2020","2,402.80","2,419.40","2,420.58","2,398.97","-","-0.72%"
"Feb 20, 2020","2,420.21","2,431.02","2,433.95","2,405.54","-","-0.45%"
"Feb 19, 2020","2,431.22","2,420.85","2,433.60","2,420.18","-","0.40%"
"Feb 18, 2020","2,421.47","2,431.13","2,431.19","2,413.78","-","-0.38%"
"Feb 17, 2020","2,430.69","2,431.44","2,432.17","2,428.73","-","-0.03%"
"Feb 14, 2020","2,431.37","2,429.32","2,432.25","2,425.30","-","0.06%"
"Feb 13, 2020","2,429.89","2,433.95","2,434.49","2,420.96","-","-0.21%"
"Feb 12, 2020","2,434.95","2,421.72","2,434.95","2,420.87","-","0.57%"
"Feb 11, 2020","2,421.26","2,412.73","2,430.14","2,412.72","-","0.34%"
"Feb 10, 2020","2,413.10","2,403.52","2,413.10","2,397.12","-","0.35%"
"Feb 07, 2020","2,404.75","2,416.56","2,416.66","2,401.12","-","-0.49%"
"Feb 06, 2020","2,416.48","2,405.10","2,417.48","2,405.09","-","0.48%"
"Feb 05, 2020","2,404.96","2,383.61","2,406.20","2,383.61","-","0.91%"
"Feb 04, 2020","2,383.30","2,351.21","2,388.03","2,350.55","-","1.35%"
"Feb 03, 2020","2,351.45","2,342.14","2,361.26","2,338.51","-","0.39%"
"Jan 31, 2020","2,342.41","2,371.64","2,374.68","2,337.97","-","-1.25%"
"Jan 30, 2020","2,372.01","2,374.43","2,374.78","2,351.68","-","-0.06%"
"Jan 29, 2020","2,373.52","2,373.77","2,383.07","2,371.95","-","0.04%"
"Jan 28, 2020","2,372.52","2,355.87","2,377.71","2,352.94","-","0.70%"
"Jan 27, 2020","2,356.09","2,396.25","2,396.58","2,354.15","-","-1.64%"
"Jan 24, 2020","2,395.31","2,406.23","2,415.43","2,389.24","-","-0.45%"
"Jan 23, 2020","2,406.14","2,410.86","2,411.19","2,395.44","-","-0.17%"
"Jan 22, 2020","2,410.23","2,408.55","2,419.06","2,408.52","-","0.04%"
"Jan 21, 2020","2,409.29","2,415.62","2,415.62","2,406.77","-","-0.24%"
"Jan 20, 2020","2,415.03","2,415.19","2,416.53","2,413.95","-","-0.02%"
"Jan 17, 2020","2,415.51","2,407.19","2,415.51","2,406.42","-","0.39%"
"Jan 16, 2020","2,406.17","2,393.16","2,406.18","2,392.41","-","0.59%"
"Jan 15, 2020","2,392.06","2,388.32","2,396.93","2,386.35","-","0.15%"
"Jan 14, 2020","2,388.50","2,388.41","2,394.27","2,385.46","-","0.01%"
"Jan 13, 2020","2,388.25","2,377.24","2,388.49","2,375.71","-","0.45%"
"Jan 10, 2020","2,377.62","2,380.47","2,386.53","2,375.80","-","-0.09%"
"Jan 09, 2020","2,379.85","2,365.75","2,380.67","2,365.69","-","0.55%"
"Jan 08, 2020","2,366.93","2,362.94","2,372.28","2,357.32","-","0.19%"
"Jan 07, 2020","2,362.43","2,365.97","2,371.67","2,359.76","-","-0.09%"
"Jan 06, 2020","2,364.49","2,360.98","2,364.66","2,348.78","-","0.06%"
"Jan 03, 2020","2,363.12","2,373.88","2,375.75","2,357.68","-","-0.54%"
"Jan 02, 2020","2,375.94","2,358.01","2,375.94","2,357.16","-","0.74%"
"Jan 01, 2020","2,358.48","2,358.25","2,358.48","2,358.03","-","0.00%"
"Dec 31, 2019","2,358.47","2,353.24","2,358.52","2,350.34","-","0.22%"
"Dec 30, 2019","2,353.25","2,365.60","2,366.87","2,351.65","-","-0.49%"
"Dec 27, 2019","2,364.90","2,361.08","2,369.20","2,360.69","-","0.20%"
"Dec 26, 2019","2,360.21","2,351.45","2,360.64","2,351.40","-","0.38%"
"Dec 25, 2019","2,351.22","2,351.31","2,351.73","2,349.92","-","-0.03%"
"Dec 24, 2019","2,351.84","2,351.47","2,352.21","2,349.49","-","0.05%"
"Dec 23, 2019","2,350.75","2,349.13","2,352.75","2,348.65","-","0.04%"
"Dec 20, 2019","2,349.87","2,340.72","2,351.09","2,339.24","-","0.39%"
"Dec 19, 2019","2,340.65","2,333.18","2,341.03","2,331.51","-","0.32%"
"Dec 18, 2019","2,333.28","2,336.47","2,337.94","2,333.11","-","-0.14%"
"Dec 17, 2019","2,336.62","2,336.95","2,339.03","2,335.06","-","-0.04%"
"Dec 16, 2019","2,337.45","2,319.52","2,341.11","2,319.52","-","0.76%"
"Dec 13, 2019","2,319.73","2,314.50","2,329.51","2,313.38","-","0.45%"
